Received trajectory - Linear velocity: 0.492197, Angular velocity: -0.0332012
Received trajectory - Linear velocity: 0.491802, Angular velocity: -0.0113044
Received trajectory - Linear velocity: 0.491309, Angular velocity: 0.0121395
Received trajectory - Linear velocity: 0.490716, Angular velocity: 0.0368976
Received trajectory - Linear velocity: 0.490024, Angular velocity: 0.0629643
Received trajectory - Linear velocity: 0.489232, Angular velocity: 0.0900776
Received trajectory - Linear velocity: 0.488342, Angular velocity: 0.117789
Received trajectory - Linear velocity: 0.487413, Angular velocity: 0.146092
Received trajectory - Linear velocity: 0.486483, Angular velocity: 0.174487
Received trajectory - Linear velocity: 0.485551, Angular velocity: 0.202214
Received trajectory - Linear velocity: 0.484617, Angular velocity: 0.229264
Received trajectory - Linear velocity: 0.483682, Angular velocity: 0.25497
Received trajectory - Linear velocity: 0.482745, Angular velocity: 0.278424
Received trajectory - Linear velocity: 0.481807, Angular velocity: 0.29962
Received trajectory - Linear velocity: 0.480875, Angular velocity: 0.317896
Received trajectory - Linear velocity: 0.479998, Angular velocity: 0.332449
Received trajectory - Linear velocity: 0.479188, Angular velocity: 0.343277
Received trajectory - Linear velocity: 0.478444, Angular velocity: 0.350041
Received trajectory - Linear velocity: 0.477766, Angular velocity: 0.35238
Received trajectory - Linear velocity: 0.477155, Angular velocity: 0.350293
Received trajectory - Linear velocity: 0.476609, Angular velocity: 0.343954
Received trajectory - Linear velocity: 0.47613, Angular velocity: 0.333526
Received trajectory - Linear velocity: 0.47572, Angular velocity: 0.31901
Received trajectory - Linear velocity: 0.475386, Angular velocity: 0.30108
Received trajectory - Linear velocity: 0.475128, Angular velocity: 0.280291
Received trajectory - Linear velocity: 0.474945, Angular velocity: 0.256651
Received trajectory - Linear velocity: 0.474838, Angular velocity: 0.231098
Received trajectory - Linear velocity: 0.474808, Angular velocity: 0.204323
Received trajectory - Linear velocity: 0.474853, Angular velocity: 0.176335
Received trajectory - Linear velocity: 0.474974, Angular velocity: 0.147991
Received trajectory - Linear velocity: 0.47515, Angular velocity: 0.119849
Received trajectory - Linear velocity: 0.47537, Angular velocity: 0.0919221
Received trajectory - Linear velocity: 0.475634, Angular velocity: 0.0648338
