[2025-03-11_00-49-10.752] Received Bspline message - pos_pts size: 27, yaw_pts size: 65
Received trajectory - Linear velocity: 0.49269, Angular velocity: -0.0725125
Received trajectory - Linear velocity: 0.492499, Angular velocity: -0.0540102
Received trajectory - Linear velocity: 0.492207, Angular velocity: -0.0338324
Received trajectory - Linear velocity: 0.491816, Angular velocity: -0.0119856
Received trajectory - Linear velocity: 0.491325, Angular velocity: 0.0114169
Received trajectory - Linear velocity: 0.490735, Angular velocity: 0.0361358
Received trajectory - Linear velocity: 0.490046, Angular velocity: 0.0621633
Received trajectory - Linear velocity: 0.489258, Angular velocity: 0.0892554
Received trajectory - Linear velocity: 0.48837, Angular velocity: 0.116949
Received trajectory - Linear velocity: 0.487441, Angular velocity: 0.145234
Received trajectory - Linear velocity: 0.486511, Angular velocity: 0.173645
Received trajectory - Linear velocity: 0.485579, Angular velocity: 0.201392
Received trajectory - Linear velocity: 0.484645, Angular velocity: 0.228462
Received trajectory - Linear velocity: 0.48371, Angular velocity: 0.254231
Received trajectory - Linear velocity: 0.482774, Angular velocity: 0.277753
Received trajectory - Linear velocity: 0.481835, Angular velocity: 0.299017
Received trajectory - Linear velocity: 0.480902, Angular velocity: 0.317402
Received trajectory - Linear velocity: 0.480024, Angular velocity: 0.332066
Received trajectory - Linear velocity: 0.479211, Angular velocity: 0.343006
Received trajectory - Linear velocity: 0.478465, Angular velocity: 0.349903
Received trajectory - Linear velocity: 0.477786, Angular velocity: 0.352374
Received trajectory - Linear velocity: 0.477172, Angular velocity: 0.35042
Received trajectory - Linear velocity: 0.476625, Angular velocity: 0.344203
Received trajectory - Linear velocity: 0.476144, Angular velocity: 0.333898
Received trajectory - Linear velocity: 0.475731, Angular velocity: 0.319504
Received trajectory - Linear velocity: 0.475395, Angular velocity: 0.301659
Received trajectory - Linear velocity: 0.475134, Angular velocity: 0.280957
Received trajectory - Linear velocity: 0.474949, Angular velocity: 0.257399
Received trajectory - Linear velocity: 0.474841, Angular velocity: 0.231882
Received trajectory - Linear velocity: 0.474808, Angular velocity: 0.205144
Received trajectory - Linear velocity: 0.47485, Angular velocity: 0.177189
Received trajectory - Linear velocity: 0.474969, Angular velocity: 0.148838
Received trajectory - Linear velocity: 0.475144, Angular velocity: 0.120691
Received trajectory - Linear velocity: 0.475363, Angular velocity: 0.0927534
Received trajectory - Linear velocity: 0.475625, Angular velocity: 0.0656289
Received trajectory - Linear velocity: 0.475931, Angular velocity: 0.0397094
Received trajectory - Linear velocity: 0.47628, Angular velocity: 0.0150011
Received trajectory - Linear velocity: 0.476673, Angular velocity: -0.00813361
Received trajectory - Linear velocity: 0.477109, Angular velocity: -0.029484
Received trajectory - Linear velocity: 0.477586, Angular velocity: -0.0490444
Received trajectory - Linear velocity: 0.478083, Angular velocity: -0.066589
Received trajectory - Linear velocity: 0.478597, Angular velocity: -0.0820003
Received trajectory - Linear velocity: 0.479126, Angular velocity: -0.0952739
